-18221890.5870052949	  inf
-13179639.6686003823	2.76714e-01
-13128740.6854883432	3.86194e-03
-13080120.3486368470	3.70335e-03
-13039827.6150818244	3.08046e-03
-13010634.1841920782	2.23879e-03
-12990461.5248708837	1.55047e-03
-12975997.8286501933	1.11341e-03
-12964957.1052422002	8.50857e-04
-12956226.7367312666	6.73382e-04
-12949047.3542022351	5.54126e-04
-12942873.1796862464	4.76805e-04
-12937950.7040578704	3.80323e-04
-12933603.1844516322	3.36028e-04
-12930024.2852931358	2.76713e-04
-12926970.0538910814	2.36212e-04
-12924353.8862913903	2.02381e-04
-12921993.6565572638	1.82619e-04
-12919954.6385861933	1.57794e-04
-12918007.5862236843	1.50701e-04
-12916275.8260767478	1.34058e-04
-12914743.2018823661	1.18658e-04
-12913352.9416365474	1.07649e-04
-12912033.8927004989	1.02146e-04
-12910795.5078486893	9.59094e-05
